,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
321, Maruti,2013,Alto,87.27k,Petrol,Manual,"5,414"," Kompally, Hyderabad",1.63 lakh
322, Honda,2013,Amaze,99.84k,Petrol,Manual,"8,935"," Bachupally, Hyderabad",2.69 lakh
323, Maruti,2013,Alto,29.07k,Petrol,Manual,"7,274"," Kompally, Hyderabad",2.19 lakh
324, Honda,2013,Amaze,49.40k,Petrol,Manual,"11,359"," Bachupally, Hyderabad",3.42 lakh
325, Maruti,2013,Alto,98.82k,Petrol,Manual,"6,975"," Upperpally, Attapur, Hyderabad",2.10 lakh
326, Hyundai,2014,Verna,93.94k,Diesel,Manual,"14,714"," Kompally, Hyderabad",4.43 lakh
327, Maruti,2014,Swift,,Petrol,Manual,"8,716"," Upperpally, Attapur, Hyderabad",3.31 lakh
328, Maruti,2014,Wagon,76.93k,Petrol,Manual,"7,347"," Kompally, Hyderabad",2.79 lakh
329, Hyundai,2014,i10,143.06k,Petrol,Manual,"7,742"," Kompally, Hyderabad",2.94 lakh
330, Hyundai,2014,Grand,74.58k,Petrol,Manual,"9,691"," Upperpally, Attapur, Hyderabad",3.68 lakh
331, Hyundai,2014,Xcent,270.00k,Petrol,Manual,"8,611"," Upperpally, Attapur, Hyderabad",3.27 lakh
332, Maruti,2015,Swift,50.60k,Petrol,Manual,"8,386"," Bachupally, Hyderabad",3.77 lakh
333, Hyundai,2015,Grand,70.99k,Petrol,Manual,"7,496"," Upperpally, Attapur, Hyderabad",3.37 lakh
334, Honda,2015,Brio,47.17k,Petrol,Manual,"6,963"," Upperpally, Attapur, Hyderabad",3.13 lakh
335, Maruti,2015,Swift,97.99k,Diesel,Manual,"12,719"," Bachupally, Hyderabad",4.83 lakh
336, Maruti,2015,Alto,60.49k,Petrol,Manual,"4,649"," Kompally, Hyderabad",2.09 lakh
337, Honda,2015,City,78.89k,Petrol,Manual,"11,144"," Bachupally, Hyderabad",5.01 lakh
338, Hyundai,2015,Grand,82.84k,Petrol,Manual,"7,697"," Kompally, Hyderabad",3.46 lakh
339, Volkswagen,2015,Vento,77.29k,Petrol,Manual,"12,902"," Bachupally, Hyderabad",5.80 lakh
340, Maruti,2024,Grand,8.28k,Petrol,Auto,"28,170"," Kompally, Hyderabad",14.80 lakh
341, Maruti,2024,FRONX,9.20k,Petrol,Auto,"22,517"," Kompally, Hyderabad",11.83 lakh
